Summary,Issue Type,Epic Name,Priority,Description,Acceptance Criteria
Epic 1: Workflow Orchestration,Epic,Epic 1: Workflow Orchestration,High,,
Epic 2: Model Training & Registry,Epic,Epic 2: Model Training & Registry,High,,
Epic 3: Continuous Monitoring,Epic,Epic 3: Continuous Monitoring,High,,
Epic 4: Container & Environment Hardening,Epic,Epic 4: Container & Environment Hardening,Medium,,
Epic 5: CI/CD Pipeline Enhancement,Epic,Epic 5: CI/CD Pipeline Enhancement,Medium,,
Epic 6: Advanced Deployment Strategy,Epic,Epic 6: Advanced Deployment Strategy,Low,,
Create dags/ directory and scaffold base Airflow DAG file,Story,Epic 1: Workflow Orchestration,High,"As a Data Engineer, I want a dags/ directory with a base DAG file so that Airflow can discover and load the pipeline on startup.","- dags/pipeline_dag.py exists at the repo root level
- File is importable by Airflow without syntax or import errors
- DAG appears in the Airflow UI when the service starts via docker compose --profile optional up airflow
- DAG ID is churn_data_pipeline
- default_args includes owner, retries: 2, retry_delay: 5 minutes"
Implement Bronze ingestion Airflow task,Story,Epic 1: Workflow Orchestration,High,"As a Data Engineer, I want an Airflow task that runs the Bronze ingestion step so that raw data is loaded into the bronze/ layer on a schedule.","- A PythonOperator task with task_id ingest_bronze is defined in the DAG
- Task calls utils/bronze.ingest() without modification to that module
- Task runs successfully in isolation via Airflow's Test Task feature
- On success, data/bronze/ contains transactions.parquet, customer_metadata.parquet, and ancillary.parquet"
Implement Silver cleaning Airflow tasks,Story,Epic 1: Workflow Orchestration,High,"As a Data Engineer, I want Airflow tasks for each Silver cleaning step so that all four Silver layer outputs are produced and can be monitored individually.","- Four PythonOperator tasks exist: clean_silver_transactions, clean_silver_crm, clean_silver_macro, build_date_dim
- Each task maps directly to its corresponding function in utils/silver.py
- All four tasks are downstream of ingest_bronze
- Each task can be re-run independently without affecting sibling tasks
- On success, all expected Silver parquet files exist in data/silver/"
Implement Gold feature store Airflow tasks,Story,Epic 1: Workflow Orchestration,High,"As a Data Engineer, I want Airflow tasks for building the Gold feature store and train/val/test splits so that the ML-ready datasets are produced as part of the automated pipeline.","- Two PythonOperator tasks exist: build_gold_feature_store and build_gold_splits
- build_gold_feature_store is downstream of all four Silver tasks
- build_gold_splits is downstream of build_gold_feature_store only
- On success, data/gold/ contains feature_store.parquet, train_labeled.parquet, val_labeled.parquet, test_labeled.parquet"
Configure DAG schedule, retries, and full dependency graph,Story,Epic 1: Workflow Orchestration,High,"As a Data Engineer, I want the DAG to run on a monthly schedule with automatic retries so that the pipeline recovers from transient failures without manual intervention.","- DAG schedule_interval is set to @monthly
- catchup is set to False
- All tasks inherit retries: 2 and retry_delay: 5 minutes from default_args
- Full dependency chain enforces: bronze >> [silver tasks] >> gold_feature_store >> gold_splits
- A manually triggered run in the Airflow UI completes all tasks with status success"
